,ast,blka,block_above_3,block_in_paint,block_lcorner_3,block_mid_range,block_rcorner_3,block_res,dreb,fga,min,oreb,shot_above_3,shot_in_paint,shot_lcorner_3,shot_mid_range,shot_rcorner_3,shot_res,stl
201587,5.1,19,0.10526310249310396,0.2631577562327599,0.05263155124655198,0.05263155124655198,0.0,0.5263155124655198,8.9,561,2461.455,2.1,0.3547237013418235,0.08734402696356458,0.0944741516136515,0.16042780462695536,0.07843137115095596,0.2245989264777375,2.5999999999999996
202687,5.1,23,0.0,0.26086945179589055,0.0,0.043478241965981754,0.0,0.6956518714557081,8.9,156,2461.455,2.1,0.0,0.20512819197896204,0.0,0.10897435198882359,0.0,0.6858973919296544,2.5999999999999996
1628970,5.1,33,0.09090906336088989,0.242424168962373,0.030303021120296626,0.0,0.030303021120296626,0.6060604224059325,8.9,503,2461.455,2.1,0.22465208300890493,0.10337971961471731,0.06958250358682896,0.0636182889936722,0.085487075835247,0.45328030907991435,2.5999999999999996
1629147,5.1,1,0.0,0.0,,0.0,,0.9999900000999989,8.9,3,2461.455,2.1,0.0,0.3333322222259259,,0.3333322222259259,,0.3333322222259259,2.5999999999999996
1628984,5.1,12,0.08333326388894677,0.24999979166684028,0.0,0.0,0.08333326388894677,0.5833328472226273,8.9,211,2461.455,2.1,0.4549762817546786,0.07582938029244643,0.03317535387794531,0.13744075178005916,0.061611371487612726,0.23696681341389508,2.5999999999999996
1626195,5.1,31,0.0,0.29032248699274615,0.0,0.0,0.0,0.7096771904267127,8.9,295,2461.455,2.1,0.11525423338121243,0.19661016282677415,0.0033898303935650715,0.047457625509911006,0.013559321574260286,0.6237287924159732,2.5999999999999996
1626163,5.1,12,0.0,0.24999979166684028,0.0,0.0,0.0,0.7499993750005208,8.9,298,2461.455,2.1,0.4261744823431382,0.1711409338543311,0.020134227512274245,0.06040268253682274,0.020134227512274245,0.3020134126841137,2.5999999999999996
203077,5.1,38,0.0,0.2631578254847827,0.0,0.026315782548478276,0.0,0.7105261288089134,8.9,329,2461.455,2.1,0.04255319019595167,0.20972643739433322,0.03647416302510143,0.16109422002753132,0.051671730952227025,0.49848022800971953,2.5999999999999996
203087,5.1,45,0.022222217283951712,0.42222212839508255,0.0,0.044444434567903424,0.0,0.5111109975308894,8.9,978,2461.455,2.1,0.2832310809485575,0.224948872955533,0.03271983606625935,0.1554192213147319,0.02044989754141209,0.2832310809485575,2.5999999999999996
202714,5.1,38,0.026315782548478276,0.2631578254847827,0.0,0.15789469529086964,0.0,0.5526314335180438,8.9,403,2461.455,2.1,0.2630272887586281,0.20347394036044814,0.029776674199089973,0.17121587664476734,0.029776674199089973,0.3027295210240814,2.5999999999999996
